Player,Salary
George Hill,"$1,000,000"
Terance Mann,"$1,000,000"
Jonathon Simmons,"$1,000,000"
Justin Hamilton,"$1,000,000"
Kyle Singler,"$999,200"
Marvin Williams,"$956,349"
David Nwaba,"$903,111"
Admiral Schofield,"$898,310"
KZ Okpala,"$898,310"
Eric Paschall,"$898,310"
Nicolas Claxton,"$898,310"
Justin James,"$898,310"
Jalen Lecque,"$898,310"
Ignas Brazdeikis,"$898,310"
Talen Horton-Tucker,"$898,310"
Daniel Gafford,"$898,310"
Alen Smailagić,"$898,310"
Matt Thomas,"$898,310"
Miye Oni,"$898,310"
Dewan Hernandez,"$898,310"
Terence Davis,"$898,310"
Wenyen Gabriel,"$898,310"
Naz Reid,"$898,310"
Jalen McDaniels,"$898,310"
Caleb Martin,"$898,310"
Shaquille Harrison,"$898,310"
Javonte Green,"$898,310"
Damion Lee,"$842,327"
Khyri Thomas,"$838,464"
DeMarre Carroll,"$811,447"
Michael Kidd-Gilchrist,"$810,763"
Marquese Chriss,"$758,804"
Juwan Morgan,"$746,054"
Patrick Patterson,"$737,067"
Reggie Jackson,"$734,025"
Alfonzo McKinnie,"$708,871"
Gary Clark,"$708,426"
Jeff Green,"$695,526"
Cole Aldrich,"$685,340"
Shaun Livingston,"$666,667"
Marquese Chriss,"$654,468"
Timothé Luwawu-Cabarrot,"$654,468"
Rayjon Tucker,"$578,573"
Chris Clemons,"$568,422"
Gary Clark,"$555,409"
Brandon Goodwin,"$522,738"
Dion Waiters,"$503,656"
Ryan Anderson,"$500,000"
Anžejs Pasečņiks,"$482,144"
Troy Daniels,"$481,000"
Chris Silva,"$466,918"
Dakari Johnson,"$459,414"
Iman Shumpert,"$419,443"
Max Strus,"$415,414"
Justin Robinson,"$395,866"
Dean Wade,"$375,000"
Ivan Rabb,"$371,758"
Norvel Pelle,"$350,189"
Ky Bowman,"$350,189"
Juan Toscano-Anderson,"$350,189"
A.J. Hammons,"$350,087"
Festus Ezeli,"$333,333"
C.J. Watson,"$333,333"
Anthony Tolliver,"$289,803"
Joakim Noah,"$289,803"
Corey Brewer,"$289,803"
J.R. Smith,"$289,803"
Luc Mbah a Moute,"$289,803"
Jamal Crawford,"$289,803"
Lance Thomas,"$262,152"
Stanton Kidd,"$250,000"
Jordan Bell,"$250,000"
Tyler Zeller,"$245,686"
Trey Burke,"$229,220"
Joe Johnson,"$220,000"
Tyler Johnson,"$212,753"
Jemerrio Jones,"$199,000"
Jontay Porter,"$197,933"
Justin Anderson,"$196,288"
Jerian Grant,"$196,288"
Cameron Payne,"$196,288"
Timothé Luwawu-Cabarrot,"$189,702"
Dragan Bender,"$189,702"
Mychal Mulder,"$187,782"
Sindarius Thornwell,"$183,115"
